uf_busca,cidade_busca,universidade_nome,campus_nome,nome,grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Filosofia,Licenciatura,Curso a Distância,256.86,,,1,,,,528.80,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Física,Licenciatura,Curso a Distância,235.40,,,1,,,,578.54,
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Fisioterapia,Bacharelado,Matutino,1464.00,2,1,,,704.68,621.58,,
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Fisioterapia,Bacharelado,Noturno,1024.80,4,3,,,653.70,620.02,,
PB,Joao Pessoa,Faculdade de Enfermagem Nova Esperança - FACENE,CAMPUS  - JOÃO PESSOA - Gramame,Fisioterapia,Bacharelado,Matutino,1027.26,4,13,,,600.46,597.16,,
PB,Joao Pessoa,Faculdade de Enfermagem Nova Esperança - FACENE,CAMPUS  - JOÃO PESSOA - Gramame,Fisioterapia,Bacharelado,Noturno,1027.26,4,14,,,584.90,597.52,,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,UNIDADE SEDE - Tambiá,Fisioterapia,Bacharelado,Matutino,985.85,2,1,,,619.64,596.94,,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,UNIDADE SEDE - Tambiá,Fisioterapia,Bacharelado,Noturno,985.85,1,1,,,604.24,588.72,,
PB,Joao Pessoa,Faculdade Paraíbana - FAP,CAMPUS  - JOÃO PESSOA - MIRAMAR - Miramar,Fisioterapia,Bacharelado,Noturno,718.20,2,1,,,597.74,568.88,,
PB,Joao Pessoa,Faculdade Uninassau João Pessoa,FACULDADE MAURÍCIO DE NASSAU DE JOÃO PESSOA - Estados,Fisioterapia,Bacharelado,Noturno,1041.60,3,2,,,616.40,593.50,,
PB,Joao Pessoa,Faculdade Uninassau João Pessoa,FACULDADE MAURÍCIO DE NASSAU DE JOÃO PESSOA - Estados,Fisioterapia,Bacharelado,Matutino,1041.60,4,3,,,638.60,589.08,,
PB,Joao Pessoa,Instituto Paraibano de Ensino Renovado - INPER,CAMPUS  - JOÃO PESSOA - JARDIM MARIZÓPOLIS - Jardim Marizópolis,Fisioterapia,Bacharelado,Matutino,682.29,2,1,,,614.44,563.26,,
PB,Joao Pessoa,Instituto Paraibano de Ensino Renovado - INPER,CAMPUS  - JOÃO PESSOA - JARDIM MARIZÓPOLIS - Jardim Marizópolis,Fisioterapia,Bacharelado,Noturno,718.20,1,,,,566.56,,,
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Fonoaudiologia,Bacharelado,Vespertino,914.00,1,,,,640.34,,,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,FACULDADE INTERNACIONAL DA PARAÍBA - Tambiá,Gastronomia,Tecnológico,Noturno,903.07,3,2,,,603.80,593.26,,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,FACULDADE INTERNACIONAL DA PARAÍBA - Tambiá,Gastronomia,Tecnológico,Vespertino,836.74,1,1,,,616.78,603.86,,
